Id,CreditPrice,CoinPrice,ItemNameCode,ItemDescCode,ProductType,ContractType,ContractValue,TemplateString
3001,6000,0,,,0,1,40000,3330003
3002,6000,0,,,0,1,40000,3330005
3003,14000,0,,,0,1,45000,3330002
3004,14000,0,,,0,1,45000,3330004
3005,14000,0,,,0,1,45000,3330006
3006,20000,0,,,0,1,45000,3330008
3007,20000,0,,,0,1,45000,3330010
3008,20000,0,,,0,1,45000,3330012
3009,25000,0,,,0,1,45000,3330014
3010,25000,0,,,0,1,45000,3330016
3011,57500,0,,,0,1,50000,3330018
3012,57500,0,,,0,1,50000,3330015
3013,57500,0,,,0,1,50000,3330017
3014,50000,0,,,0,1,50000,3330021
3015,50000,0,,,0,1,50000,3330024
3016,67000,0,,,0,1,60000,3330020
3017,67000,0,,,0,1,60000,3330022
3018,67000,0,,,0,1,60000,3330025
3019,79000,0,,,0,1,65000,3330031
3020,79000,0,,,0,1,65000,3330032
3021,79000,0,,,0,1,65000,3330033
3022,79000,0,,,0,1,65000,3330034
3023,79000,0,,,0,1,65000,3330035
3024,79000,0,,,0,1,65000,3330036
3025,79000,0,,,0,1,65000,3330037
3026,79000,0,,,0,1,65000,3330038
3027,79000,0,,,0,1,65000,3330039
3028,87000,0,,,0,1,65000,3330040
3029,87000,0,,,0,1,65000,3330041
3030,87000,0,,,0,1,65000,3330042
