Id,CreditPrice,CoinPrice,ItemNameCode,ItemDescCode,ProductType,ContractType,ContractValue,TemplateString
8001,15000,0,,,2,0,100,1001
8002,5000,0,,,2,0,100000,3001
8003,25000,0,,,2,0,500000,3001
8004,10000,0,,,2,0,1,4001
8005,4000,0,,,2,2,30,1002
8006,4000,0,,,2,2,30,1003
8007,4000,0,,,2,2,30,1004
8008,4000,0,,,2,2,30,1005
8009,4000,0,,,2,2,30,1006
8010,4000,0,,,2,2,30,1007
8011,4000,0,,,2,2,30,1008
8012,4000,0,,,2,2,30,1009
8013,4000,0,,,2,2,30,1010
8014,4000,0,,,2,2,30,1011
8015,4000,0,,,2,2,30,1012
8016,4000,0,,,2,2,30,1013
8017,4000,0,,,2,2,30,1014
8018,4000,0,,,2,2,30,1015
8019,4000,0,,,2,2,30,1016
8020,4000,0,,,2,2,30,1017
8021,4000,0,,,2,2,30,1018
8022,4000,0,,,2,2,30,1019
8023,4000,0,,,2,2,30,1020
8024,4000,0,,,2,2,30,1021
8025,4000,0,,,2,2,30,1022
8026,4000,0,,,2,2,30,1023
8027,4000,0,,,2,2,30,1024
8028,4000,0,,,2,2,30,1025
8029,4000,0,,,2,2,30,1026
8031,4000,0,,,2,2,30,1027
8032,4000,0,,,2,2,30,1028
8033,4000,0,,,2,2,30,1029
8034,4000,0,,,2,2,30,2001
8035,4000,0,,,2,2,30,2002
8036,1,0,,,4,2,30,6001
8037,1,0,,,4,2,30,6002
8038,1,0,,,4,2,30,6003
8039,1,0,,,4,2,30,6004
8040,1,0,,,4,2,30,6005
8041,1,0,,,4,2,30,6006
8042,1,0,,,4,2,30,6007
