Id,CreditPrice,CoinPrice,ItemNameCode,ItemDescCode,ProductType,ContractType,ContractValue,TemplateString
1001,4000,0,,,0,1,40000,1110003
1002,4000,0,,,0,1,40000,1110005
1003,8500,0,,,0,1,45000,1110002
1004,8500,0,,,0,1,45000,1110004
1005,8500,0,,,0,1,45000,1110006
1006,13000,0,,,0,1,45000,1110008
1007,13000,0,,,0,1,45000,1110010
1008,13000,0,,,0,1,45000,1110012
1009,16500,0,,,0,1,45000,1110014
1010,16500,0,,,0,1,45000,1110016
1011,36500,0,,,0,1,50000,1110018
1012,36500,0,,,0,1,50000,1110015
1013,36500,0,,,0,1,50000,1110017
1014,32000,0,,,0,1,50000,1110021
1015,32000,0,,,0,1,50000,1110024
1016,48000,0,,,0,1,60000,1110020
1017,48000,0,,,0,1,60000,1110022
1018,48000,0,,,0,1,60000,1110025
1019,60000,0,,,0,1,65000,1110031
1020,60000,0,,,0,1,65000,1110032
1021,60000,0,,,0,1,65000,1110033
1022,60000,0,,,0,1,65000,1110034
1023,60000,0,,,0,1,65000,1110035
1024,60000,0,,,0,1,65000,1110036
1025,60000,0,,,0,1,65000,1110037
1026,60000,0,,,0,1,65000,1110038
1027,60000,0,,,0,1,65000,1110039
1028,66000,0,,,0,1,65000,1110040
1029,66000,0,,,0,1,65000,1110041
1030,66000,0,,,0,1,65000,1110042
