Id,CreditPrice,CoinPrice,ItemNameCode,ItemDescCode,ProductType,ContractType,ContractValue,TemplateString
4001,5000,0,,,0,1,40000,4440003
4002,5000,0,,,0,1,40000,4440005
4003,12000,0,,,0,1,45000,4440002
4004,12000,0,,,0,1,45000,4440004
4005,12000,0,,,0,1,45000,4440006
4006,16500,0,,,0,1,45000,4440008
4007,16500,0,,,0,1,45000,4440010
4008,16500,0,,,0,1,45000,4440012
4009,21000,0,,,0,1,45000,4440014
4010,21000,0,,,0,1,45000,4440016
4011,46000,0,,,0,1,50000,4440018
4012,46000,0,,,0,1,50000,4440015
4013,46000,0,,,0,1,50000,4440017
4014,40000,0,,,0,1,50000,4440021
4015,40000,0,,,0,1,50000,4440024
4016,57000,0,,,0,1,60000,4440020
4017,57000,0,,,0,1,60000,4440022
4018,57000,0,,,0,1,60000,4440025
4019,69000,0,,,0,1,65000,4440031
4020,69000,0,,,0,1,65000,4440032
4021,69000,0,,,0,1,65000,4440033
4022,69000,0,,,0,1,65000,4440034
4023,69000,0,,,0,1,65000,4440035
4024,69000,0,,,0,1,65000,4440036
4025,69000,0,,,0,1,65000,4440037
4026,69000,0,,,0,1,65000,4440038
4027,69000,0,,,0,1,65000,4440039
4028,76000,0,,,0,1,65000,4440040
4029,76000,0,,,0,1,65000,4440041
4030,76000,0,,,0,1,65000,4440042
