Id,CreditPrice,CoinPrice,ItemNameCode,ItemDescCode,ProductType,ContractType,ContractValue,TemplateString
1,10,0,,,0,1,40000,6660006
2,10,0,,,0,1,40000,6660008
3,10,0,,,0,1,40000,6660009
4,10,0,,,0,1,40000,6660007
5,10,0,,,0,1,40000,6660010
6,10,0,,,0,1,40000,6660013
;7,4000,0,,,0,1,40000,8880003
;8,9500,0,,,0,1,40000,8880004
;9,15000,0,,,0,1,40000,8880006
10,4000,0,,,0,1,40000,7770024
11,9500,0,,,0,1,40000,7770025
12,15000,0,,,0,1,40000,7770039
13,4000,0,,,0,1,40000,7770018
14,9500,0,,,0,1,40000,7770026
15,15000,0,,,0,1,40000,7770041
16,4000,0,,,0,1,40000,7770017
17,9500,0,,,0,1,40000,7770027
18,15000,0,,,0,1,40000,7770040
19,4000,0,,,0,1,40000,7770019
20,9500,0,,,0,1,40000,7770031
21,15000,0,,,0,1,40000,7770042
22,7200,0,,,0,1,40000,7770020
23,15000,0,,,0,1,40000,7770028
24,24000,0,,,0,1,40000,7770044
25,7200,0,,,0,1,40000,7770021
26,15000,0,,,0,1,40000,7770029
27,24000,0,,,0,1,40000,7770045
28,100,0,,,0,1,40000,7770022
29,10,0,,,0,1,40000,7770030
30,10,0,,,0,1,40000,7770043
31,10,0,,,0,1,60000,6660013
32,10,0,,,0,1,60000,6660003
33,10,0,,,0,1,60000,6660005
34,10,0,,,0,1,60000,6660002
35,10,0,,,0,1,60000,6660004
36,10,0,,,0,1,60000,6660014
;37,24000,0,,,0,1,60000,8880001
;38,35500,0,,,0,1,60000,8880002
;39,47000,0,,,0,1,60000,8880007
40,24000,0,,,0,1,60000,7770008
41,35500,0,,,0,1,60000,7770010
42,47000,0,,,0,1,60000,7770046
43,24000,0,,,0,1,60000,7770036
44,35500,0,,,0,1,60000,7770012
45,47000,0,,,0,1,60000,7770048
46,24000,0,,,0,1,60000,7770032
47,35500,0,,,0,1,60000,7770011
48,47000,0,,,0,1,60000,7770047
49,24000,0,,,0,1,60000,7770035
50,35500,0,,,0,1,60000,7770023
51,47000,0,,,0,1,60000,7770049
52,38500,0,,,0,1,60000,7770033
53,53500,0,,,0,1,60000,7770013
54,65500,0,,,0,1,60000,7770051
55,38500,0,,,0,1,60000,7770005
56,53500,0,,,0,1,60000,7770014
57,65500,0,,,0,1,60000,7770052
58,10,0,,,0,1,60000,7770009
59,10,0,,,0,1,60000,7770015
60,10,0,,,0,1,60000,7770050
61,65500,0,,,0,1,60000,6660017
62,65500,0,,,0,1,60000,6660015
;63,65500,0,,,0,1,60000,8880008
64,65500,0,,,0,1,60000,7770053
65,65500,0,,,0,1,60000,7770059
66,65500,0,,,0,1,60000,7770055
67,65500,0,,,0,1,60000,7770057
68,85000,0,,,0,1,60000,7770061
69,85000,0,,,0,1,60000,7770063
70,10,0,,,0,1,60000,7770065
71,10,0,,,0,1,65000,6660018
72,10,0,,,0,1,65000,6660016
73,75000,0,,,0,1,65000,7770054
74,75000,0,,,0,1,65000,7770060
75,75000,0,,,0,1,65000,7770056
76,75000,0,,,0,1,65000,7770058
;77,75000,0,,,0,1,65000,8880010
78,94500,0,,,0,1,65000,7770062
79,94500,0,,,0,1,65000,7770064
80,10,0,,,0,1,65000,7770066
