"No.","Time","Source","Destination","Protocol","Length","Info"
"5","0.043220","206.127.152.131","192.168.0.10","TCP","61","15152  >  49209 [PSH, ACK] Seq=1 Ack=123 Win=31816 Len=7"
"10","0.026493","206.127.152.131","192.168.0.10","TCP","242","15152  >  49209 [PSH, ACK] Seq=8 Ack=166 Win=31773 Len=188"
"12","0.024238","206.127.152.131","192.168.0.10","TCP","242","15152  >  49209 [PSH, ACK] Seq=196 Ack=177 Win=31762 Len=188"
"14","0.022986","206.127.152.131","192.168.0.10","TCP","234","15152  >  49209 [PSH, ACK] Seq=384 Ack=180 Win=31759 Len=180"
"15","0.007445","206.127.152.131","192.168.0.10","TCP","654","15152  >  49209 [PSH, ACK] Seq=564 Ack=180 Win=31759 Len=600"
"19","0.687146","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=1164 Ack=187 Win=31752 Len=11"
"20","0.000954","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=1175 Ack=187 Win=31752 Len=15"
"22","1.007463","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=1190 Ack=187 Win=31752 Len=11"
"23","0.000904","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=1201 Ack=187 Win=31752 Len=15"
"25","1.006599","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=1216 Ack=187 Win=31752 Len=11"
"26","0.000824","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=1227 Ack=187 Win=31752 Len=15"
"28","0.999195","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=1242 Ack=187 Win=31752 Len=11"
"29","0.000857","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=1253 Ack=187 Win=31752 Len=15"
"31","0.999174","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=1268 Ack=187 Win=31752 Len=11"
"32","0.000858","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=1279 Ack=187 Win=31752 Len=15"
"35","0.000819","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=1305 Ack=187 Win=31752 Len=15"
"38","0.000929","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=1331 Ack=187 Win=31752 Len=15"
"40","0.998927","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=1346 Ack=187 Win=31752 Len=11"
"41","0.000795","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=1357 Ack=187 Win=31752 Len=15"
"48","0.003421","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=1372 Ack=194 Win=31745 Len=11"
"49","0.005417","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=1383 Ack=201 Win=31738 Len=11"
"51","0.012508","206.127.152.131","192.168.0.10","TCP","221","15152  >  49209 [PSH, ACK] Seq=1394 Ack=208 Win=31731 Len=167"
"52","0.004446","206.127.152.131","192.168.0.10","TCP","378","15152  >  49209 [PSH, ACK] Seq=1561 Ack=208 Win=31731 Len=324"
"54","0.000858","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=1885 Ack=215 Win=31724 Len=15"
"55","0.016455","206.127.152.131","192.168.0.10","TCP","1506","15152  >  49209 [ACK] Seq=1900 Ack=215 Win=31724 Len=1452"
"57","0.003242","206.127.152.131","192.168.0.10","TCP","327","[TCP Previous segment not captured] 15152  >  49209 [PSH, ACK] Seq=6256 Ack=215 Win=31724 Len=273"
